task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1704710988.0348012,1704710990.7090018,2.6742005348205566,3,13168022528,9249702400
ForwardPass,1704710990.7093732,1704710991.8628936,1.1535203456878662,3,13168022528,9984744960
SendActivation,1704710991.863276,1704710992.0828567,0.21958065032958984,3,13168022528,9984744960
RecvActivation,1704710992.083247,1704710992.2774656,0.19421863555908203,3,13168022528,10050664960
ForwardPass,1704710992.2778134,1704710992.5334659,0.25565242767333984,3,13168022528,10778236416
RecvGrad,1704710992.533848,1704710993.8286898,1.2948417663574219,3,13168022528,10843772416
SendActivation,1704710993.8290346,1704710994.0388215,0.20978689193725586,3,13168022528,10843772416
BackwardPass,1704710994.0391674,1704710994.8334777,0.7943103313446045,3,13635123200,11203262976
SendGrad,1704710994.8338537,1704710995.0892928,0.25543904304504395,3,13635123200,11071806976
RecvActivation,1704710995.08966,1704710995.3207448,0.23108482360839844,3,13635123200,11137726976
ForwardPass,1704710995.3210938,1704710995.5768898,0.255795955657959,3,13635123200,11861104128
RecvGrad,1704710995.5772793,1704710995.7667713,0.18949198722839355,3,13635123200,11861104128
SendActivation,1704710995.7671094,1704710995.9636354,0.19652605056762695,3,13635123200,11861104128
BackwardPass,1704710995.963969,1704710996.755511,0.7915420532226562,3,13635123200,11199068672
SendGrad,1704710996.7562404,1704710997.0434673,0.28722691535949707,3,13635123200,11067612672
RecvActivation,1704710997.0437982,1704710997.2770753,0.2332770824432373,3,13635123200,11133532672
ForwardPass,1704710997.2774165,1704710997.5353448,0.25792837142944336,3,13635123200,11859006976
RecvGrad,1704710997.535717,1704710997.725469,0.18975210189819336,3,13635123200,11859006976
SendActivation,1704710997.7258034,1704710997.9224148,0.1966114044189453,3,13635123200,11859006976
BackwardPass,1704710997.9227514,1704710998.7176201,0.7948687076568604,3,13635123200,11201165824
SendGrad,1704710998.7180197,1704710998.9153416,0.19732189178466797,3,13635123200,11069709824
RecvGrad,1704710998.9157023,1704710999.1104646,0.1947622299194336,3,13635123200,11069709824
BackwardPass,1704710999.1108158,1704710999.905338,0.7945222854614258,3,13635123200,10410820096
SendGrad,1704710999.9057422,1704711000.1211493,0.215407133102417,3,13635123200,10278315520
ReduceTiedGrads,1704711000.1215243,1704711000.1215663,4.1961669921875e-05,3,13635123200,10278315520
ReduceGrads,1704711000.1222246,1704711000.1330934,0.01086878776550293,3,13635123200,10278315520
OptimizerStep,1704711000.133427,1704711003.0531974,2.9197704792022705,3,14330013184,10278315520
RecvActivation,1704711003.6247885,1704711005.0604458,1.435657262802124,3,14330013184,10345772032
ForwardPass,1704711005.0608315,1704711005.3172994,0.2564678192138672,3,14330013184,11068100608
SendActivation,1704711005.3176777,1704711005.5121667,0.1944890022277832,3,14330013184,11068100608
RecvActivation,1704711005.5125265,1704711005.731427,0.21890044212341309,3,14330013184,11134020608
ForwardPass,1704711005.7317822,1704711005.9902096,0.25842738151550293,3,14330013184,11861592064
RecvGrad,1704711005.990585,1704711006.4695582,0.4789731502532959,3,14330013184,11861592064
SendActivation,1704711006.4702795,1704711006.6660266,0.19574713706970215,3,14330013184,11861592064
BackwardPass,1704711006.666371,1704711007.4638534,0.7974822521209717,3,14330013184,11204799488
SendGrad,1704711007.4642346,1704711007.6717389,0.2075042724609375,3,14330013184,11073343488
RecvActivation,1704711007.6720786,1704711007.9052713,0.23319268226623535,3,14330013184,11139263488
ForwardPass,1704711007.9056196,1704711008.1641672,0.2585475444793701,3,14330013184,11860543488
RecvGrad,1704711008.1645825,1704711008.3543234,0.18974089622497559,3,14330013184,11860543488
SendActivation,1704711008.3547094,1704711008.5495818,0.19487237930297852,3,14330013184,11860543488
BackwardPass,1704711008.54996,1704711009.3487422,0.7987823486328125,3,14330013184,11198508032
SendGrad,1704711009.3491905,1704711009.5711439,0.2219533920288086,3,14330013184,11067052032
RecvActivation,1704711009.5715098,1704711009.8041694,0.23265957832336426,3,14330013184,11132972032
ForwardPass,1704711009.8045554,1704711010.0640461,0.2594907283782959,3,14330013184,11858446336
RecvGrad,1704711010.0644326,1704711010.2542086,0.18977594375610352,3,14330013184,11858446336
SendActivation,1704711010.2546654,1704711010.448511,0.19384551048278809,3,14330013184,11858446336
BackwardPass,1704711010.4488888,1704711011.245436,0.7965471744537354,3,14330013184,11202702336
SendGrad,1704711011.2459152,1704711011.4389412,0.19302606582641602,3,14330013184,11071246336
RecvGrad,1704711011.4393113,1704711011.6315415,0.192230224609375,3,14330013184,11071246336
BackwardPass,1704711011.6318738,1704711012.4303367,0.7984628677368164,3,14330013184,10412356608
SendGrad,1704711012.4307165,1704711012.643922,0.21320557594299316,3,14330013184,10279852032
ReduceTiedGrads,1704711012.6443398,1704711012.644398,5.817413330078125e-05,3,14330013184,10279852032
ReduceGrads,1704711012.6447024,1704711012.6543906,0.009688138961791992,3,14330013184,10279852032
OptimizerStep,1704711012.6547153,1704711015.5776,2.922884702682495,3,14331549696,10279852032
RecvActivation,1704711015.641879,1704711017.087467,1.4455878734588623,3,14331549696,10345772032
ForwardPass,1704711017.0878363,1704711017.3452191,0.257382869720459,3,14331549696,11068100608
SendActivation,1704711017.345597,1704711017.5386932,0.19309616088867188,3,14331549696,11068100608
RecvActivation,1704711017.5390718,1704711017.7579455,0.2188737392425537,3,14331549696,11134020608
ForwardPass,1704711017.7582917,1704711018.0156581,0.257366418838501,3,14331549696,11861592064
RecvGrad,1704711018.0160391,1704711018.500235,0.4841959476470947,3,14331549696,11861592064
SendActivation,1704711018.5006697,1704711018.6949663,0.19429659843444824,3,14331549696,11861592064
BackwardPass,1704711018.6953135,1704711019.4945,0.7991864681243896,3,14331549696,11204799488
SendGrad,1704711019.4948976,1704711019.6892083,0.19431066513061523,3,14331549696,11073343488
RecvActivation,1704711019.6899588,1704711019.9369206,0.2469618320465088,3,14331549696,11139263488
ForwardPass,1704711019.9372628,1704711020.196435,0.2591722011566162,3,14331549696,11860543488
RecvGrad,1704711020.1968129,1704711020.3865836,0.18977069854736328,3,14331549696,11860543488
SendActivation,1704711020.387001,1704711020.581105,0.19410395622253418,3,14331549696,11860543488
BackwardPass,1704711020.5815375,1704711021.381073,0.7995355129241943,3,14331549696,11198508032
SendGrad,1704711021.381537,1704711021.5904949,0.20895791053771973,3,14331549696,11067052032
RecvActivation,1704711021.5911245,1704711021.83665,0.24552536010742188,3,14331549696,11132972032
ForwardPass,1704711021.8370383,1704711022.0957086,0.2586703300476074,3,14331549696,11858446336
RecvGrad,1704711022.0960965,1704711022.2856402,0.1895437240600586,3,14331549696,11858446336
SendActivation,1704711022.2859836,1704711022.4810884,0.19510483741760254,3,14331549696,11858446336
BackwardPass,1704711022.4831257,1704711023.2815065,0.7983808517456055,3,14331549696,11202702336
