task,start_time,end_time,duration,rank,max_mem,alloc_mem
RecvActivation,1704633588.7649724,1704633589.9521067,1.1871342658996582,1,16181630464,11336369152
LoadMicroBatch,1704633589.9525414,1704633589.952791,0.00024962425231933594,1,16181630464,11336753152
ForwardPass,1704633589.9531012,1704633591.1713421,1.2182409763336182,1,16181630464,14580706816
BackwardPass,1704633591.1717422,1704633592.1083763,0.9366340637207031,1,16631593984,13756034560
SendGrad,1704633592.1088023,1704633592.3555381,0.2467358112335205,1,16631593984,13755650560
RecvActivation,1704633592.355934,1704633592.596584,0.24065017700195312,1,16631593984,13821570560
LoadMicroBatch,1704633592.5974457,1704633592.597652,0.00020623207092285156,1,16631593984,13821954560
ForwardPass,1704633592.597953,1704633592.9095006,0.31154751777648926,1,18080798720,17055291392
BackwardPass,1704633592.909901,1704633593.8447173,0.9348163604736328,1,18080798720,14978918400
SendGrad,1704633593.8451219,1704633594.749422,0.9043002128601074,1,18080798720,14978534400
RecvActivation,1704633594.74986,1704633594.997045,0.24718499183654785,1,18080798720,15044454400
LoadMicroBatch,1704633594.9974167,1704633594.9976053,0.00018858909606933594,1,18080798720,15044454400
ForwardPass,1704633594.9979074,1704633595.309888,0.3119804859161377,1,19301201408,17053194752
BackwardPass,1704633595.3103127,1704633596.243978,0.9336652755737305,1,19301201408,14979967488
SendGrad,1704633596.2444034,1704633597.1459146,0.9015111923217773,1,19301201408,14979583488
RecvActivation,1704633597.1466599,1704633597.3933942,0.2467343807220459,1,19301201408,15045503488
LoadMicroBatch,1704633597.3937778,1704633597.3939774,0.0001995563507080078,1,19301201408,15045503488
ForwardPass,1704633597.3942707,1704633597.7049565,0.3106858730316162,1,19303299072,17055292416
BackwardPass,1704633597.7053447,1704633598.6387289,0.9333841800689697,1,19303299072,14978919424
SendGrad,1704633598.63913,1704633599.0464885,0.40735840797424316,1,19303299072,14978535424
ReduceTiedGrads,1704633599.0468335,1704633599.0468733,3.981590270996094e-05,1,19303299072,14978535424
ReduceGrads,1704633599.047174,1704633599.0603597,0.013185739517211914,1,19303299072,14978535424
OptimizerStep,1704633599.0606854,1704633600.9283886,1.8677031993865967,1,19957174272,14978535424
RecvActivation,1704633601.2277763,1704633601.9646063,0.7368299961090088,1,19957174272,15045989888
LoadMicroBatch,1704633601.9649935,1704633601.9651706,0.00017714500427246094,1,19957174272,15045989888
ForwardPass,1704633601.9658818,1704633602.3667476,0.4008657932281494,1,19957174272,17055778816
BackwardPass,1704633602.3671327,1704633603.319011,0.9518783092498779,1,19957174272,14980454400
SendGrad,1704633603.3202243,1704633603.510625,0.1904006004333496,1,19957174272,14980070400
RecvActivation,1704633603.5109806,1704633603.761345,0.2503643035888672,1,19957174272,15045990400
LoadMicroBatch,1704633603.7616968,1704633603.761899,0.000202178955078125,1,19957174272,15045990400
ForwardPass,1704633603.7621891,1704633604.1261346,0.36394548416137695,1,19957174272,17054730752
BackwardPass,1704633604.127404,1704633605.0667458,0.9393417835235596,1,19957174272,14980454912
SendGrad,1704633605.0671387,1704633605.8942788,0.8271400928497314,1,19957174272,14980070912
RecvActivation,1704633605.8946888,1704633606.143038,0.24834918975830078,1,19957174272,15045990912
LoadMicroBatch,1704633606.1438413,1704633606.1440742,0.00023293495178222656,1,19957174272,15045990912
ForwardPass,1704633606.144363,1704633606.4572594,0.3128964900970459,1,19957174272,17054731264
BackwardPass,1704633606.4576635,1704633607.3969853,0.939321756362915,1,19957174272,14981504000
SendGrad,1704633607.3973958,1704633608.2706873,0.8732914924621582,1,19957174272,14981120000
RecvActivation,1704633608.271122,1704633608.5216725,0.2505505084991455,1,19957174272,15047040000
LoadMicroBatch,1704633608.522048,1704633608.522248,0.00020003318786621094,1,19957174272,15047040000
ForwardPass,1704633608.5225432,1704633608.836537,0.3139936923980713,1,19957174272,17055780352
BackwardPass,1704633608.8369372,1704633609.777637,0.9406998157501221,1,19957174272,14980455936
SendGrad,1704633609.7780776,1704633610.168389,0.39031147956848145,1,19957174272,14980071936
ReduceTiedGrads,1704633610.1687608,1704633610.1688006,3.981590270996094e-05,1,19957174272,14980071936
ReduceGrads,1704633610.1695323,1704633610.1847248,0.015192508697509766,1,19957174272,14980071936
OptimizerStep,1704633610.18505,1704633612.0182614,1.8332114219665527,1,19958710784,14980071936
RecvActivation,1704633612.0577798,1704633612.7847476,0.7269678115844727,1,19958710784,15045989888
LoadMicroBatch,1704633612.7851503,1704633612.7853675,0.00021719932556152344,1,19958710784,15045989888
ForwardPass,1704633612.7856767,1704633613.1872592,0.4015824794769287,1,19958710784,17054730240
BackwardPass,1704633613.1877494,1704633614.1515243,0.9637749195098877,1,19958710784,14982551552
SendGrad,1704633614.1522489,1704633614.342742,0.19049310684204102,1,19958710784,14982167552
RecvActivation,1704633614.343147,1704633614.5936174,0.2504703998565674,1,19958710784,15048087552
LoadMicroBatch,1704633614.5939913,1704633614.594184,0.0001926422119140625,1,19958710784,15048087552
ForwardPass,1704633614.5945086,1704633614.989771,0.3952622413635254,1,19958710784,17058925056
BackwardPass,1704633614.9903517,1704633615.9281602,0.9378085136413574,1,19958710784,14980454912
SendGrad,1704633615.928611,1704633616.7524953,0.8238842487335205,1,19958710784,14980070912
RecvActivation,1704633616.752979,1704633617.0027058,0.2497267723083496,1,19958710784,15045990912
LoadMicroBatch,1704633617.0031173,1704633617.0033627,0.0002453327178955078,1,19958710784,15045990912
ForwardPass,1704633617.0036774,1704633617.3198574,0.3161799907684326,1,19958710784,17054731264
BackwardPass,1704633617.3202417,1704633618.2651203,0.9448785781860352,1,19958710784,14981504000
SendGrad,1704633618.2656293,1704633619.1349602,0.869330883026123,1,19958710784,14981120000
RecvActivation,1704633619.135399,1704633619.3856003,0.2502012252807617,1,19958710784,15047040000
LoadMicroBatch,1704633619.3859978,1704633619.3862119,0.00021409988403320312,1,19958710784,15047040000
ForwardPass,1704633619.3909566,1704633619.7050588,0.3141021728515625,1,19958710784,17057877504
BackwardPass,1704633619.7054815,1704633620.6499488,0.944467306137085,1,19958710784,14981504512
SendGrad,1704633620.6503778,1704633621.0389884,0.3886106014251709,1,19958710784,14981120512
ReduceTiedGrads,1704633621.0393822,1704633621.0394351,5.2928924560546875e-05,1,19958710784,14981120512
ReduceGrads,1704633621.0397189,1704633621.0543733,0.014654397964477539,1,19958710784,14981120512
OptimizerStep,1704633621.0547245,1704633622.9093225,1.854598045349121,1,19959759360,14981120512
RecvActivation,1704633622.9494398,1704633623.6770577,0.7276179790496826,1,19959759360,15047038464
LoadMicroBatch,1704633623.6774552,1704633623.6776593,0.0002040863037109375,1,19959759360,15047038464
ForwardPass,1704633623.6779537,1704633624.0703661,0.3924124240875244,1,19959759360,17055778816
BackwardPass,1704633624.0709784,1704633625.0233765,0.9523980617523193,1,19959759360,14981502976
SendGrad,1704633625.0237787,1704633625.213588,0.18980932235717773,1,19959759360,14981118976
RecvActivation,1704633625.2139425,1704633625.465036,0.25109338760375977,1,19959759360,15047038976
LoadMicroBatch,1704633625.4654045,1704633625.4655745,0.00016999244689941406,1,19959759360,15047038976
ForwardPass,1704633625.4658732,1704633625.8622885,0.39641523361206055,1,19959759360,17055779328
BackwardPass,1704633625.8635077,1704633626.8051004,0.9415926933288574,1,19959759360,14980454912
SendGrad,1704633626.8054934,1704633627.6059873,0.8004939556121826,1,19959759360,14980070912
RecvActivation,1704633627.6063654,1704633627.8557792,0.24941372871398926,1,19959759360,15045990912
LoadMicroBatch,1704633627.8561418,1704633627.8563137,0.00017189979553222656,1,19959759360,15045990912
ForwardPass,1704633627.8566096,1704633628.1714976,0.31488800048828125,1,19959759360,17054731264
BackwardPass,1704633628.1723452,1704633629.1162913,0.943946123123169,1,19959759360,14980455424
SendGrad,1704633629.1167269,1704633630.007857,0.8911302089691162,1,19959759360,14980071424
RecvActivation,1704633630.0082169,1704633630.2589474,0.2507305145263672,1,19959759360,15045991424
LoadMicroBatch,1704633630.2593398,1704633630.2595406,0.00020074844360351562,1,19959759360,15045991424
ForwardPass,1704633630.2598417,1704633630.5733743,0.31353259086608887,1,19959759360,17054731776
BackwardPass,1704633630.5737674,1704633631.5193439,0.9455764293670654,1,19959759360,14981504512
SendGrad,1704633631.519953,1704633631.9184353,0.3984823226928711,1,19959759360,14981120512
ReduceTiedGrads,1704633631.918881,1704633631.9189272,4.6253204345703125e-05,1,19959759360,14981120512
ReduceGrads,1704633631.919235,1704633631.9343665,0.015131473541259766,1,19959759360,14981120512
OptimizerStep,1704633631.934734,1704633633.764876,1.8301417827606201,1,19959759360,14981120512
RecvActivation,1704633633.8047569,1704633634.5543375,0.7495806217193604,1,19959759360,15047038464
LoadMicroBatch,1704633634.5546901,1704633634.5548437,0.00015354156494140625,1,19959759360,15047038464
ForwardPass,1704633634.5551498,1704633634.9502037,0.3950538635253906,1,19959759360,17055778816
BackwardPass,1704633634.9507668,1704633635.9263744,0.9756076335906982,1,19959759360,14980454400
SendGrad,1704633635.9276927,1704633636.118135,0.19044232368469238,1,19959759360,14980070400
RecvActivation,1704633636.1185257,1704633636.375951,0.25742530822753906,1,19959759360,15045990400
LoadMicroBatch,1704633636.376342,1704633636.376566,0.0002238750457763672,1,19959759360,15045990400
ForwardPass,1704633636.3768775,1704633636.7703342,0.39345669746398926,1,19959759360,17054730752
BackwardPass,1704633636.7720742,1704633637.7129617,0.940887451171875,1,19959759360,14981503488
SendGrad,1704633637.7133732,1704633638.5175605,0.8041872978210449,1,19959759360,14981119488
RecvActivation,1704633638.5184827,1704633638.7684562,0.24997353553771973,1,19959759360,15047039488
LoadMicroBatch,1704633638.7690125,1704633638.769316,0.00030350685119628906,1,19959759360,15047039488
ForwardPass,1704633638.7696626,1704633639.08654,0.3168773651123047,1,19959759360,17056828416
BackwardPass,1704633639.0869756,1704633640.03348,0.9465043544769287,1,19959759360,14981504000
SendGrad,1704633640.0339088,1704633640.911438,0.8775291442871094,1,19959759360,14981120000
RecvActivation,1704633640.911907,1704633641.1631467,0.2512397766113281,1,19959759360,15047040000
LoadMicroBatch,1704633641.1635556,1704633641.1637685,0.0002129077911376953,1,19959759360,15047040000
ForwardPass,1704633641.164079,1704633641.4784484,0.31436944007873535,1,19959759360,17055780352
BackwardPass,1704633641.4788775,1704633642.427003,0.9481253623962402,1,19959759360,14980455936
SendGrad,1704633642.4274566,1704633642.8174093,0.3899526596069336,1,19959759360,14980071936
ReduceTiedGrads,1704633642.8184154,1704633642.8184857,7.033348083496094e-05,1,19959759360,14980071936
ReduceGrads,1704633642.8187728,1704633642.8334723,0.014699459075927734,1,19959759360,14980071936
OptimizerStep,1704633642.8338149,1704633644.6652527,1.8314378261566162,1,19959759360,14980071936
RecvActivation,1704633644.7063515,1704633645.4355218,0.7291703224182129,1,19959759360,15045989888
LoadMicroBatch,1704633645.4360135,1704633645.4362996,0.000286102294921875,1,19959759360,15045989888
ForwardPass,1704633645.4366086,1704633645.8369505,0.4003419876098633,1,19959759360,17054730240
BackwardPass,1704633645.83744,1704633646.8130574,0.9756174087524414,1,19959759360,14980454400
SendGrad,1704633646.8143656,1704633647.0043328,0.18996715545654297,1,19959759360,14980070400
RecvActivation,1704633647.0047135,1704633647.2555535,0.2508399486541748,1,19959759360,15045990400
LoadMicroBatch,1704633647.256448,1704633647.2566316,0.00018358230590820312,1,19959759360,15045990400
ForwardPass,1704633647.2569306,1704633647.647411,0.39048051834106445,1,19959759360,17055779328
BackwardPass,1704633647.647861,1704633648.5888848,0.9410238265991211,1,19959759360,14982552064
SendGrad,1704633648.58933,1704633649.4038434,0.8145134449005127,1,19959759360,14982168064
RecvActivation,1704633649.4042604,1704633649.6549597,0.2506992816925049,1,19959759360,15048088064
LoadMicroBatch,1704633649.6553402,1704633649.6555092,0.0001690387725830078,1,19959759360,15048088064
ForwardPass,1704633649.65581,1704633649.9712758,0.31546568870544434,1,19959759360,17056828416
BackwardPass,1704633649.971725,1704633650.9206667,0.948941707611084,1,19959759360,14981504000
SendGrad,1704633650.9210904,1704633651.808236,0.8871455192565918,1,19959759360,14981120000
RecvActivation,1704633651.8086405,1704633652.0580819,0.24944138526916504,1,19959759360,15047040000
LoadMicroBatch,1704633652.058996,1704633652.0591831,0.00018715858459472656,1,19959759360,15047040000
ForwardPass,1704633652.0594866,1704633652.3745008,0.315014123916626,1,19959759360,17055780352
BackwardPass,1704633652.3748987,1704633653.3190584,0.944159746170044,1,19959759360,14981504512
SendGrad,1704633653.3195295,1704633653.7180192,0.39848971366882324,1,19959759360,14981120512
ReduceTiedGrads,1704633653.7184436,1704633653.718487,4.3392181396484375e-05,1,19959759360,14981120512
ReduceGrads,1704633653.7187834,1704633653.732085,0.013301610946655273,1,19959759360,14981120512
OptimizerStep,1704633653.732423,1704633655.5774047,1.8449816703796387,1,19959759360,14981120512
RecvActivation,1704633655.6172724,1704633656.34877,0.7314975261688232,1,19959759360,15047038464
LoadMicroBatch,1704633656.3491507,1704633656.3493257,0.00017499923706054688,1,19959759360,15047038464
ForwardPass,1704633656.3496563,1704633656.7507854,0.40112900733947754,1,19959759360,17055778816
BackwardPass,1704633656.7511857,1704633657.7314384,0.980252742767334,1,19959759360,14981896192
SendGrad,1704633657.7326713,1704633657.922483,0.18981170654296875,1,19959759360,14981512192
RecvActivation,1704633657.9228482,1704633658.1736975,0.25084924697875977,1,19959759360,15047432192
LoadMicroBatch,1704633658.1740704,1704633658.174242,0.000171661376953125,1,19959759360,15047432192
ForwardPass,1704633658.1745439,1704633658.5742376,0.39969372749328613,1,19959759360,17056172544
BackwardPass,1704633658.5754826,1704633659.5187387,0.943256139755249,1,19959759360,14980454912
SendGrad,1704633659.5191526,1704633660.3302302,0.8110775947570801,1,19959759360,14980070912
RecvActivation,1704633660.330654,1704633660.579875,0.2492210865020752,1,19959759360,15045990912
LoadMicroBatch,1704633660.5802608,1704633660.5804338,0.00017309188842773438,1,19959759360,15045990912
ForwardPass,1704633660.581244,1704633660.8983502,0.3171062469482422,1,19959759360,17054731264
BackwardPass,1704633660.8987532,1704633661.8519192,0.9531660079956055,1,19959759360,14982552576
SendGrad,1704633661.8523388,1704633662.7326822,0.8803434371948242,1,19959759360,14982168576
RecvActivation,1704633662.7330663,1704633662.9827206,0.24965429306030273,1,19959759360,15048088576
LoadMicroBatch,1704633662.9831145,1704633662.9833007,0.0001862049102783203,1,19959759360,15048088576
ForwardPass,1704633662.9836035,1704633663.2985754,0.314971923828125,1,19959759360,17056828928
BackwardPass,1704633663.2989893,1704633664.2480915,0.9491021633148193,1,19959759360,14980980224
SendGrad,1704633664.2484746,1704633664.6438866,0.39541196823120117,1,19959759360,14980596224
ReduceTiedGrads,1704633664.6443176,1704633664.6443608,4.315376281738281e-05,1,19959759360,14980596224
ReduceGrads,1704633664.6446593,1704633664.6594095,0.014750242233276367,1,19959759360,14980596224
OptimizerStep,1704633664.6602757,1704633666.5027041,1.84242844581604,1,19959759360,14980596224
RecvActivation,1704633666.5421722,1704633667.2741237,0.7319514751434326,1,19959759360,15046514176
LoadMicroBatch,1704633667.2744992,1704633667.2746549,0.0001556873321533203,1,19959759360,15046514176
ForwardPass,1704633667.2749627,1704633667.677473,0.402510404586792,1,19959759360,17055254528
BackwardPass,1704633667.678046,1704633668.6520724,0.9740264415740967,1,19959759360,14981502976
SendGrad,1704633668.652694,1704633668.842582,0.18988800048828125,1,19959759360,14981118976
RecvActivation,1704633668.842949,1704633669.0935004,0.2505514621734619,1,19959759360,15047038976
LoadMicroBatch,1704633669.0947611,1704633669.095409,0.0006477832794189453,1,19959759360,15047038976
ForwardPass,1704633669.096445,1704633669.4983993,0.40195417404174805,1,19959759360,17055779328
BackwardPass,1704633669.4989076,1704633670.4462268,0.9473192691802979,1,19959759360,14982552064
SendGrad,1704633670.4466405,1704633671.248654,0.8020133972167969,1,19959759360,14982168064
RecvActivation,1704633671.249055,1704633671.5000875,0.25103259086608887,1,19959759360,15048088064
LoadMicroBatch,1704633671.5004702,1704633671.5006511,0.00018095970153808594,1,19959759360,15048088064
ForwardPass,1704633671.5009694,1704633671.8167944,0.3158249855041504,1,19959759360,17057876992
BackwardPass,1704633671.817201,1704633672.767128,0.9499270915985107,1,19959759360,14981504000
SendGrad,1704633672.767549,1704633673.6619174,0.8943684101104736,1,19959759360,14981120000
RecvActivation,1704633673.6622856,1704633673.9124832,0.2501976490020752,1,19959759360,15047040000
LoadMicroBatch,1704633673.9128408,1704633673.9130034,0.00016260147094726562,1,19959759360,15047040000
ForwardPass,1704633673.91331,1704633674.2287855,0.3154754638671875,1,19959759360,17056828928
BackwardPass,1704633674.2298987,1704633675.180036,0.9501373767852783,1,19959759360,14982553088
SendGrad,1704633675.1805077,1704633675.5771286,0.3966209888458252,1,19959759360,14982169088
ReduceTiedGrads,1704633675.5775146,1704633675.5775523,3.7670135498046875e-05,1,19959759360,14982169088
